start_date,strt_statn,gender,start_station_name,start_stn_municipality
10/20/2012 17:30,72,,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge
10/20/2012 17:30,54,,Tremont St / West St,Boston
10/20/2012 17:30,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:30,55,,Boylston / Mass Ave,Boston
10/20/2012 17:30,54,,Tremont St / West St,Boston
10/20/2012 17:31,52,,Newbury St / Hereford St,Boston
10/20/2012 17:30,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:31,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:31,33,,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:30,75,,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 17:30,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:30,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:31,33,,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:31,53,,Beacon St / Mass Ave,Boston
10/20/2012 17:31,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:31,10,Male,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:31,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:31,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:31,33,,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:32,86,,Brookline Village - Station Street @ MBTA,Brookline
10/20/2012 17:32,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:31,59,Male,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston
10/20/2012 17:32,53,,Beacon St / Mass Ave,Boston
10/20/2012 17:32,129,Male,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge
10/20/2012 17:32,129,Male,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge
10/20/2012 17:33,75,,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 17:35,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:33,67,Female,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:35,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:33,22,Male,South Station - 700 Atlantic Ave.,Boston
10/20/2012 17:34,53,,Beacon St / Mass Ave,Boston
10/20/2012 17:34,53,,Beacon St / Mass Ave,Boston
10/20/2012 17:34,12,Male,Ruggles Station / Columbus Ave.,Boston
10/20/2012 17:35,32,,Landmark Centre,Boston
10/20/2012 17:37,10,,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:35,96,Male,Cambridge Main Library at Broadway / Trowbridge St,Cambridge
10/20/2012 17:36,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:37,58,,The Esplanade - Beacon St. at Arlington St.,Boston
10/20/2012 17:36,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:37,10,,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:38,75,,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 17:37,111,Female,TD Garden - Causeway at Portal Park #2,Boston
10/20/2012 17:38,111,,TD Garden - Causeway at Portal Park #2,Boston
10/20/2012 17:38,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:38,75,,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 17:39,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:38,19,Female,Buswell Park,Boston
10/20/2012 17:39,94,,Charlestown - Main St at Austin St,Boston
10/20/2012 17:39,10,,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:39,18,,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston
10/20/2012 17:39,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:39,33,Female,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:39,18,Male,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston
10/20/2012 17:39,31,Male,Seaport Hotel,Boston
10/20/2012 17:40,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:39,10,,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:40,87,,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:40,10,Female,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:40,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:40,87,Male,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:41,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:40,49,Male,Stuart St. at Charles St.,Boston
10/20/2012 17:41,48,,Post Office Square,Boston
10/20/2012 17:40,76,Female,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge
10/20/2012 17:41,48,Male,Post Office Square,Boston
10/20/2012 17:42,131,,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge
10/20/2012 17:42,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:41,67,Female,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:41,19,Male,Buswell Park,Boston
10/20/2012 17:44,52,,Newbury St / Hereford St,Boston
10/20/2012 17:41,46,Male,Christian Science Plaza,Boston
10/20/2012 17:42,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:42,115,,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston
10/20/2012 17:42,59,Male,Chinatown Gate Plaza - Surface Rd. at Beach St.,Boston
10/20/2012 17:42,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 17:43,67,,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 17:43,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 17:44,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 17:45,111,,TD Garden - Causeway at Portal Park #2,Boston
10/20/2012 17:44,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 17:43,4,Male,Tremont St. at Berkeley St.,Boston
10/20/2012 17:43,42,Male,Boylston St. at Arlington St.,Boston
10/20/2012 17:44,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 17:44,50,Female,Boylston St / Berkeley St,Boston
10/20/2012 17:44,10,Male,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 17:45,42,,Boylston St. at Arlington St.,Boston
10/20/2012 17:44,72,Female,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge
10/20/2012 17:44,19,Male,Buswell Park,Boston
10/20/2012 17:45,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:45,87,,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:45,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:45,87,,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,Cambridge
10/20/2012 17:45,45,Male,Yawkey Way at Boylston St.,Boston
10/20/2012 17:45,33,Male,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:47,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:46,47,Male,Cross St. at Hanover St.,Boston
10/20/2012 17:48,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:47,52,,Newbury St / Hereford St,Boston
10/20/2012 17:47,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:47,42,,Boylston St. at Arlington St.,Boston
10/20/2012 17:47,42,,Boylston St. at Arlington St.,Boston
10/20/2012 17:48,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:47,131,,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge
10/20/2012 17:48,52,,Newbury St / Hereford St,Boston
10/20/2012 17:47,99,,Mayor Thomas M. Menino - Government Center,Boston
10/20/2012 17:48,80,,MIT Stata Center at Vassar St / Main St,Cambridge
10/20/2012 17:47,99,Male,Mayor Thomas M. Menino - Government Center,Boston
10/20/2012 17:48,68,Male,Central Square at Mass Ave / Essex St,Cambridge
10/20/2012 17:48,72,Male,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge
10/20/2012 17:48,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:49,111,,TD Garden - Causeway at Portal Park #2,Boston
10/20/2012 17:50,111,,TD Garden - Causeway at Portal Park #2,Boston
10/20/2012 17:49,138,,Wilson Square,Somerville
10/20/2012 17:49,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:54,42,,Boylston St. at Arlington St.,Boston
10/20/2012 17:50,20,,Aquarium Station - 200 Atlantic Ave.,Boston
10/20/2012 17:49,52,,Newbury St / Hereford St,Boston
10/20/2012 17:49,103,Male,Boylston at Fairfield,Boston
10/20/2012 17:50,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:49,88,Male,Inman Square at Vellucci Plaza / Hampshire St,Cambridge
10/20/2012 17:50,24,,Seaport Square - Seaport Blvd. at Boston Wharf,Boston
10/20/2012 17:51,20,,Aquarium Station - 200 Atlantic Ave.,Boston
10/20/2012 17:50,24,,Seaport Square - Seaport Blvd. at Boston Wharf,Boston
10/20/2012 17:50,9,Male,Agganis Arena - 925 Comm Ave.,Boston
10/20/2012 17:50,27,Male,Roxbury Crossing Station,Boston
10/20/2012 17:50,69,Male,Coolidge Corner - Beacon St @ Centre St,Brookline
10/20/2012 17:52,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:50,112,Female,Franklin St. / Arch St.,Boston
10/20/2012 17:50,68,,Central Square at Mass Ave / Essex St,Cambridge
10/20/2012 17:52,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:50,26,Male,Washington St. at Waltham St.,Boston
10/20/2012 17:50,58,Male,The Esplanade - Beacon St. at Arlington St.,Boston
10/20/2012 17:51,98,,Charlestown - Warren St at Chelsea St,Boston
10/20/2012 17:52,98,,Charlestown - Warren St at Chelsea St,Boston
10/20/2012 17:51,75,Female,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 17:53,44,,Faneuil Hall - Union St. at North St.,Boston
10/20/2012 17:52,33,Male,Kenmore Sq / Comm Ave,Boston
10/20/2012 17:57,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 17:54,96,,Cambridge Main Library at Broadway / Trowbridge St,Cambridge
10/20/2012 17:54,139,Male,Davis Square,Somerville
10/20/2012 17:54,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 17:54,95,Male,Cambridge St - at Columbia St / Webster Ave,Cambridge
