start_date,end_statn,gender,start_station_name,end_station_name,start_stn_municipality,end_stn_municipality
July-13,80,Male,Harvard University Gund Hall at Quincy St / Kirkland S,MIT Stata Center at Vassar St / Main St,Cambridge,Cambridge
July-13,10,,The Esplanade - Beacon St. at Arlington St.,B.U. Central - 725 Comm. Ave.,Boston,Boston
July-13,74,Male,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Harvard Square at Mass Ave/ Dunster,Boston,Cambridge
July-13,113,,Faneuil Hall - Union St. at North St.,Charles Circle - Charles St. at Cambridge St.,Boston,Boston
July-13,42,Male,Kenmore Sq / Comm Ave,Boylston St. at Arlington St.,Boston,Boston
July-13,8,Male,B.U. Central - 725 Comm. Ave.,Union Square - Brighton Ave. at Cambridge St.,Boston,Boston
July-13,88,Female,Cambridge Main Library at Broadway / Trowbridge St,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,Cambridge
July-13,126,,Coolidge Corner - Beacon St @ Centre St,Washington Square at Washington St. / Beacon St.,Brookline,Brookline
July-13,88,Male,Lafayette Square at Mass Ave / Main St / Columbia St,Inman Square at Vellucci Plaza / Hampshire St,Cambridge,Cambridge
July-13,42,,Cambridge St. at Joy St.,Boylston St. at Arlington St.,Boston,Boston
July-13,112,Male,Boylston St / Washington St,Franklin St. / Arch St.,Boston,Boston
July-13,40,Male,Congress / Sleeper,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-13,8,Female,Harvard Kennedy School at Bennett St / Eliot St,Union Square - Brighton Ave. at Cambridge St.,Cambridge,Boston
July-13,69,Female,Brookline Village - Station Street @ MBTA,Coolidge Corner - Beacon St @ Centre St,Brookline,Brookline
July-13,131,Female,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge,Cambridge
July-13,128,,Harvard Law School at Mass Ave / Jarvis St,Kendall T at Main St,Cambridge,Cambridge
July-13,69,Male,Boston Public Library - 700 Boylston St.,Coolidge Corner - Beacon St @ Centre St,Boston,Brookline
July-13,79,,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Beacon St at Washington / Kirkland,Cambridge,Somerville
July-13,79,,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Beacon St at Washington / Kirkland,Cambridge,Somerville
July-13,112,Male,Rowes Wharf - Atlantic Ave,Franklin St. / Arch St.,Boston,Boston
July-13,102,Female,Back Bay / South End Station,Boston Medical Center -  East Concord at Harrison Ave,Boston,Boston
July-13,33,,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Kenmore Sq / Comm Ave,Cambridge,Boston
July-13,22,Male,MIT Stata Center at Vassar St / Main St,South Station - 700 Atlantic Ave.,Cambridge,Boston
July-13,80,Male,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,MIT Stata Center at Vassar St / Main St,Boston,Cambridge
July-13,75,,Boylston St. at Arlington St.,Lafayette Square at Mass Ave / Main St / Columbia St,Boston,Cambridge
July-13,44,Male,Seaport Square - Seaport Blvd. at Boston Wharf,Faneuil Hall - Union St. at North St.,Boston,Boston
July-13,75,,Boylston St. at Arlington St.,Lafayette Square at Mass Ave / Main St / Columbia St,Boston,Cambridge
July-13,71,Male,Union Square - Somerville,Conway Park - Somerville Avenue,Somerville,Somerville
July-13,7,Female,Congress / Sleeper,Fan Pier,Boston,Boston
July-13,5,Female,Charles Circle - Charles St. at Cambridge St.,Northeastern U / North Parking Lot,Boston,Boston
July-13,139,Male,Packard Ave / Powderhouse Blvd,Davis Square,Somerville,Somerville
July-13,75,,Boylston St. at Arlington St.,Lafayette Square at Mass Ave / Main St / Columbia St,Boston,Cambridge
July-13,4,Male,Back Bay / South End Station,Tremont St. at Berkeley St.,Boston,Boston
July-13,78,Male,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Union Square - Somerville,Boston,Somerville
July-13,114,Male,Kenmore Sq / Comm Ave,TD Garden - Causeway at Portal Park #1,Boston,Boston
July-13,36,,Faneuil Hall - Union St. at North St.,Boston Public Library - 700 Boylston St.,Boston,Boston
July-13,16,Female,Roxbury Crossing Station,Back Bay / South End Station,Boston,Boston
July-13,67,,Harvard Square at Brattle St / Eliot St,MIT at Mass Ave / Amherst St,Cambridge,Cambridge
July-13,36,,Faneuil Hall - Union St. at North St.,Boston Public Library - 700 Boylston St.,Boston,Boston
